,PIID,Prepared Date,Date Signed,Contracting Office Region,Modification Number,Period of Performance Start Date,Funding Office ID,Principal Place of Performance Country Name,Vendor Name,Referenced  IDV PIID,Referenced IDV Mod Number,(Last Date To Order),Purchase Card as Payment Method Code,Purchase Card as Payment Method Description,Description of Requirement,IDV NAICS Code,IDV NAICS Description,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Principal Place of Performance Country Code,Base and Exercised Options Value,Action Obligation,Base and All Options Value (Total Contract Value),cluster id,confidence
10,191n2920p0478,8/17/20,8/14/20,sc,p00001,08/04/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,sr-9326243-icass-rental bus for les local travel,,,532120,"truck, utility trailer, and rv (recreational vehicle) rental and leasing",v229,transport/travel/relocation- travel/lodging/recruit: purch of transit/public transport fare media,ind,"5,440.27","5,440.27","5,440.27",2,0.9195644855499268
11,191n2920p0497,08/07/20,08/07/20,sc,0,08/07/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,sr-9282390-mrv-make ready of apartment - 101 signia pearl,,,541410,interior design services,z1fa,maintenance of family housing facilities,ind,"11,113.77","11,113.77","11,113.77",3,0.9195644855499268
12,191n2920p0497,8/14/20,8/14/20,sc,p00001,08/07/20,19xca0,india,miscellaneous foreign awardees,,,,n,no,sr-9282390-mrv-make ready of apartment - 101 signia pearl,,,541410,interior design services,z1fa,maintenance of family housing facilities,ind,0.00,0.00,0.00,3,0.9195644855499268
13,191n2920p0531,8/20/20,8/20/20,sc,0,8/20/20,19xca0,india,miscellaneous foreign awardees,,,,n,no,sr-9282463-mrv-make ready of 801 signia pearl apartment,,,541410,interior design services,z1fa,maintenance of family housing facilities,ind,"11,278.41","11,278.41","11,278.41",4,0.9195644855499268
14,191n2920p0531,09/05/20,09/05/20,sc,p00001,8/20/20,19xca0,india,miscellaneous foreign awardees,,,,n,no,sr-9282463-mrv-make ready of 801 signia pearl apartment,,,541410,interior design services,z1fa,maintenance of family housing facilities,ind,"1,236.19","1,236.19","1,236.19",4,0.9195644855499268
15,191n3020p0126,04/09/20,04/09/20,sc,0,4/15/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,annual maintenance contract for elevators in office buildings,,,238290,other building equipment contractors,z1az,maintenance of other administrative facilities and service buildings,ind,"20,259.04","20,259.04","20,259.04",5,0.9195644863954879
16,191n3020p0126,4/24/20,4/24/20,sc,p00001,4/15/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,annual maintenance contract for elevators in office buildings by authorized service provider.,,,238290,other building equipment contractors,z1az,maintenance of other administrative facilities and service buildings,ind,0.00,0.00,0.00,115,1.0
17,191n3020p0126,8/28/20,8/28/20,sc,p00002,4/15/20,19x0b0,india,miscellaneous foreign awardees,,,,n,no,annual maintenance contract for elevators in office buildings,,,238290,other building equipment contractors,z1az,maintenance of other administrative facilities and service buildings,ind,"(11,798.22)","(11,798.22)","(11,798.22)",5,0.9195644863954879
18,191n3020p0231,09/02/20,08/11/20,sc,0,08/11/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,laptops,,,334118,computer terminal and other computer peripheral equipment manufacturing,7021,"information technology central processing unit (cpu, computer, digital)",ind,"11,048.71","11,048.71","11,048.71",6,0.9195644855499268
19,191n3020p0231,09/03/20,09/03/20,sc,p00001,08/11/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,cancelled/ap-9302733/laptops for go-telework/eoy 2020,,,334118,computer terminal and other computer peripheral equipment manufacturing,7021,"information technology central processing unit (cpu, computer, digital)",ind,"(11,048.71)","(11,048.71)","(11,048.71)",116,1.0
20,191n3020p0253,08/11/20,08/11/20,sc,0,08/11/20,19x0b0,india,miscellaneous foreign awardees,,,,n,no,annual maintenance contract for elevators in office buildings,,,238290,other building equipment contractors,z1az,maintenance of other administrative facilities and service buildings,ind,"11,778.87","11,778.87","11,778.87",5,0.9195644863954879
21,191n4720p0373,8/28/20,8/28/20,sc,0,8/28/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,smart phones for motor pool drivers,,,334210,telephone apparatus manufacturing,5805,telephone and telegraph equipment,ind,"10,566.53","10,566.53","10,566.53",117,1.0
22,191n6020p0287,6/29/20,6/29/20,sc,0,6/29/20,19x0b0,india,vignesh propertees,,,,n,no,to carry out the sewage pipeline replacement work at consulate compound premises.,,,238390,other building finishing contractors,z1aa,maintenance of office buildings,ind,"10,656.04","10,656.04","10,656.04",7,0.9195644855499268
23,191n6020p0287,08/10/20,08/10/20,sc,p00001,6/29/20,19x0b0,india,vignesh propertees,,,,n,no,to carry out the sewage pipeline replacement work at consulate compound premises.,,,238390,other building finishing contractors,z1aa,maintenance of office buildings,ind,759.25,759.25,759.25,7,0.9195644855499268
24,191n6519p1092,9/21/19,9/21/19,sc,0,9/21/19,19xsca,india,miscellaneous foreign awardees,,,,n,no,media monitoring services for press office,,,541830,media buying agencies,r422,support- professional: market research/public opinion,ind,"10,938.20","10,938.20","10,938.20",118,1.0
25,191n6520f1377,8/16/20,8/16/20,sc,0,8/16/20,19xsca,india,red hill ventures llc,gs21f0067u,45,,n,no,ppe safety back supports for fac employees,339113.0,surgical appliance and supplies manufacturing,339113,surgical appliance and supplies manufacturing,4240,safety and rescue equipment,ind,"10,363.70","10,363.70","10,363.70",119,1.0
26,191n6520p0719,08/05/20,08/05/20,sc,0,08/05/20,19x0b0,india,miscellaneous foreign awardees,,,,n,no,4/16 shanti niketan (ff) : mr rso work,,,236115,new single-family housing construction (except for-sale builders),z1fa,maintenance of family housing facilities,ind,"10,824.60","10,824.60","10,824.60",120,1.0
27,191n6520p0832,8/25/20,8/25/20,sc,0,8/25/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,icass-fsma for prntr at imo/pa ame. cent.,,,541513,computer facilities management services,h349,inspection- maintenance and repair shop equipment,ind,"10,545.66","10,545.66","10,545.66",121,1.0
28,191s4020p0179,1/28/20,1/28/20,ne,0,1/28/20,19xnea,israel,miscellaneous foreign awardees,,,,n,no,hall rental,,,721110,hotels (except casino hotels) and motels,x1ab,lease/rental of conference space and facilities,isr,"15,903.60","15,903.60","15,903.60",8,0.9195644863954879
29,191s4020p0179,8/18/20,8/18/20,ne,p00001,1/28/20,19xnea,israel,miscellaneous foreign awardees,,,,n,no,hall rental,,,721110,hotels (except casino hotels) and motels,x1ab,lease/rental of conference space and facilities,isr,"(9,012.04)","(9,012.04)","(9,012.04)",8,0.9195644863954879
30,191s4020p0180,1/28/20,1/28/20,ne,0,1/28/20,19xnea,israel,miscellaneous foreign awardees,,,,n,no,hall rental,,,721110,hotels (except casino hotels) and motels,x1ab,lease/rental of conference space and facilities,isr,"11,440.00","11,440.00","11,440.00",8,0.9195644863954879
31,191s4020p0180,8/18/20,8/18/20,ne,p00001,1/28/20,19xnea,israel,miscellaneous foreign awardees,,,,n,no,hall rental,,,721110,hotels (except casino hotels) and motels,x1ab,lease/rental of conference space and facilities,isr,"(6,380.00)","(6,380.00)","(6,380.00)",8,0.9195644863954879
32,191s4020p0408,8/24/20,8/24/20,ne,0,8/24/20,19x0b0,israel,miscellaneous foreign awardees,,,,n,no,fire alarm service,,,922160,fire protection,h312,inspection- fire control equipment,isr,"10,504.89","10,504.89","10,504.89",122,1.0
33,191s7020p1028,07/02/20,07/02/20,ne,0,07/02/20,19xds0,israel,miscellaneous foreign awardees,,,,n,no,grillwork at 7 haperach begani(new leased residence),,,561621,security systems services (except locksmiths),n063,"installation of equipment- alarm, signal, and security detection systems",isr,"12,064.67","12,064.67","12,064.67",9,0.9195644855499268
34,191s7020p1028,08/04/20,08/04/20,ne,p00001,07/02/20,19xds0,israel,miscellaneous foreign awardees,,,,n,no,grillwork at 7 haperach begani(new leased residence),,,561621,security systems services (except locksmiths),n063,"installation of equipment- alarm, signal, and security detection systems",isr,(682.81),(682.81),(682.81),9,0.9195644855499268
35,191t7020f0948,08/12/20,08/12/20,eu,0,08/12/20,19xeur,italy,f.d. electronic systems srl,191t7019d0003,0,,n,no,cable services,811213.0,communication equipment repair and maintenance,811213,communication equipment repair and maintenance,d399,it and telecom- other it and telecommunications,ita,"10,600.71","10,600.71","10,600.71",10,0.9195644855499268
36,191t7020f0952,08/12/20,08/12/20,eu,0,08/12/20,19xeur,italy,f.d. electronic systems srl,191t7019d0003,0,,n,no,cable services,811213.0,communication equipment repair and maintenance,811213,communication equipment repair and maintenance,d399,it and telecom- other it and telecommunications,ita,"10,600.71","10,600.71","10,600.71",10,0.9195644855499268
37,191t7020p0748,08/11/20,08/11/20,eu,0,08/11/20,19xeur,italy,miscellaneous foreign awardees,,,,n,no,rome - isc - data racks- eoy icass,,,334112,computer storage device manufacturing,7045,information technology supplies,ita,"10,023.70","10,023.70","10,023.70",123,1.0
38,191t7020p1058,8/24/20,8/24/20,eu,0,8/24/20,19xeur,italy,miscellaneous foreign awardees,,,,n,no,annual developmental and corrective maintenance services contract of the energy monitoring systems currently installed.,,,541350,building inspection services,j059,maint/repair/rebuild of equipment- electrical and electronic equipment components,ita,"11,587.68","11,587.68","11,587.68",124,1.0
39,191z1020f0117,08/10/20,07/01/20,ne,0,07/01/20,w503ug,iraq,paxton van lines incorporated,191z1019d0002,0,,n,no,july august 2020 transport of apo mail bdsc-bec/uiii,488999.0,all other support activities for transportation,488999,all other support activities for transportation,r604,support- administrative: mailing/distribution,irq,"5,355.00","5,355.00","5,355.00",125,1.0
40,191z1020f0117,8/24/20,08/10/20,ne,p00001,07/01/20,w503ug,iraq,paxton van lines incorporated,191z1019d0002,0,,n,no,transport of apo mail bdsc-bec/uiii,488999.0,all other support activities for transportation,488999,all other support activities for transportation,r604,support- administrative: mailing/distribution,irq,"7,140.00","7,140.00","7,140.00",126,1.0
41,191z1020f0117,8/31/20,8/31/20,ne,p00002,07/01/20,w503ug,iraq,paxton van lines incorporated,191z1019d0002,0,,n,no,shipping services,488999.0,all other support activities for transportation,488999,all other support activities for transportation,r604,support- administrative: mailing/distribution,irq,"(3,213.00)","(3,213.00)","(3,213.00)",11,0.9099092483520508
42,191z2520p0406,8/19/20,8/19/20,ne,0,8/19/20,19x0b0,iraq,miscellaneous foreign awardees,,,,n,no,generator repair,,,335311,"power, distribution, and specialty transformer manufacturing",j029,maint/repair/rebuild of equipment- engine accessories,irq,"11,082.31","11,082.31","11,082.31",127,1.0
43,19a05019p0292,5/28/19,5/28/19,af,0,5/28/19,19x0b0,angola,miscellaneous foreign awardees,,,,n,no,maintenance service contract for embassy luanda generators,,,335312,motor and generator manufacturing,6115,"generators and generator sets, electrical",ago,"11,249.22","11,249.22","11,249.22",12,0.9195644855499268
44,19a05019p0292,08/04/20,5/28/19,af,p00001,5/28/19,19x0b0,angola,miscellaneous foreign awardees,,,,n,no,maintenance service contract for embassy luanda generators,,,335312,motor and generator manufacturing,6115,"generators and generator sets, electrical",ago,175.00,175.00,175.00,12,0.9195644855499268
45,19a05020p0439,08/06/20,08/06/20,af,0,08/06/20,19xaf0,angola,miscellaneous foreign awardees,,,,n,no,annual fumigation,,,623990,other residential care facilities,s207,housekeeping- insect/rodent control,ago,"11,571.43","11,571.43","11,571.43",128,1.0
46,19aj2020f0405,8/28/20,8/28/20,eu,0,8/28/20,19xeur,azerbaijan,r t services,19aj2019d0005,0,,n,no,"trash removal and dumpster replacement for september, 2020",562119.0,other waste collection,562119,other waste collection,s205,housekeeping- trash/garbage collection,aze,"11,605.88","11,605.88","11,605.88",129,1.0
47,19aj2020p0312,08/12/20,08/12/20,eu,0,08/12/20,19x0b0,azerbaijan,miscellaneous foreign awardees,,,,n,no,maintenance service for warehouse elevator,,,238290,other building equipment contractors,h249,equipment and materials testing- maintenance and repair shop equipment,aze,"11,590.00","11,590.00","11,590.00",130,1.0
48,19am1020p0599,08/03/20,08/03/20,eu,0,08/03/20,19xeur,united states,"supplies services international, inc.",,,,n,no,52.225-13,,,339112,surgical and medical instrument manufacturing,6515,"medical and surgical instruments, equipment, and supplies",usa,"11,363.60","11,363.60","11,363.60",13,0.9195644855499268
49,19am1020p0599,08/04/20,08/04/20,eu,p00001,08/03/20,19xeur,united states,"supplies services international, inc.",,,,n,no,52.225-13,,,339112,surgical and medical instrument manufacturing,6515,"medical and surgical instruments, equipment, and supplies",usa,0.00,0.00,0.00,13,0.9195644855499268
50,19aqma20f1028,8/18/20,08/06/20,us,0,08/06/20,19xwha,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,573.30,573.30,573.30,14,0.9195644863954879
51,19aqma20f1074,8/30/20,8/18/20,us,0,8/18/20,19xeur,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"1,589.53","1,589.53","1,589.53",14,0.9195644863954879
52,19aqma20f1101,08/03/20,08/03/20,us,0,08/03/20,19xeap,united states,"mercom, incorporated",nng15sd84b,18,,n,no,laptop and docking station,541519.0,other computer related services,541519,other computer related services,7010,information technology equipment system configuration,usa,"11,430.30","11,430.30","11,430.30",131,1.0
53,19aqma20f1111,8/17/20,08/11/20,us,0,08/11/20,19xaf0,united states,"mercom, incorporated",nng15sd84b,18,,n,no,gitm it,541519.0,other computer related services,541519,other computer related services,7010,information technology equipment system configuration,usa,995.96,995.96,995.96,15,0.9195644863954879
54,19aqma20f1113,8/17/20,08/11/20,us,0,08/11/20,19xaf0,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,gitm it,541519.0,other computer related services,541519,other computer related services,7035,information technology support equipment,usa,"7,920.00","7,920.00","7,920.00",15,0.9195644863954879
55,19aqma20f1126,8/17/20,08/11/20,us,0,08/11/20,19xwha,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,gitm it,541519.0,other computer related services,541519,other computer related services,7035,information technology support equipment,usa,"4,180.00","4,180.00","4,180.00",15,0.9195644863954879
56,19aqma20f1129,8/17/20,08/11/20,us,0,08/11/20,19xaf0,united states,"government acquisitions, inc.",nng15sc78b,0,,n,no,gitm it,541519.0,other computer related services,541519,other computer related services,7035,information technology support equipment,usa,"2,310.62","2,310.62","2,310.62",15,0.9195644863954879
57,19aqma20f1135,08/04/20,08/04/20,us,0,08/04/20,19xeur,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,residential furniture from department bpa,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"10,195.70","10,195.70","10,195.70",132,1.0
58,19aqma20f1141,08/07/20,08/03/20,us,0,08/03/20,19xeur,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"8,115.70","8,115.70","8,115.70",16,0.9195644863954879
59,19aqma20f1143,08/07/20,08/03/20,us,0,08/03/20,19xaf0,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"1,953.18","1,953.18","1,953.18",16,0.9195644863954879
60,19aqma20f1145,08/07/20,08/03/20,us,0,08/03/20,19xeur,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"4,559.03","4,559.03","4,559.03",16,0.9195644863954879
61,19aqma20f1146,08/07/20,08/03/20,us,0,08/03/20,19xaf0,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"8,528.40","8,528.40","8,528.40",16,0.9195644863954879
62,19aqma20f1147,08/07/20,08/03/20,us,0,08/03/20,19xaf0,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"6,176.04","6,176.04","6,176.04",16,0.9195644863954879
63,19aqma20f1149,08/07/20,08/03/20,us,0,08/03/20,19xeur,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"4,875.17","4,875.17","4,875.17",16,0.9195644863954879
64,19aqma20f1151,08/07/20,08/03/20,us,0,08/03/20,19xnea,united states,"ethan allen retail, inc.",saqmma16a0228,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,990.00,990.00,990.00,16,0.9195644863954879
65,19aqma20f1155,8/17/20,08/03/20,us,0,08/03/20,19xaf0,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"8,649.20","8,649.20","8,649.20",14,0.9195644863954879
66,19aqma20f1157,8/30/20,08/11/20,us,0,08/11/20,19xwha,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"1,071.69","1,071.69","1,071.69",14,0.9195644863954879
67,19aqma20f1168,8/17/20,08/11/20,us,0,08/11/20,19xwha,united states,"fcn, inc.",nng15sc71b,0,,n,no,it,541519.0,other computer related services,541519,other computer related services,7035,information technology support equipment,usa,"4,921.30","4,921.30","4,921.30",17,0.9195644855499268
68,19aqma20f1172,8/30/20,08/11/20,us,0,08/11/20,19xds0,united states,aatd llc,nng15sd18b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,573.30,573.30,573.30,14,0.9195644863954879
69,19aqma20f1173,8/30/20,08/11/20,us,0,08/11/20,19xeur,united states,aatd llc,nng15sd18b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"4,312.08","4,312.08","4,312.08",14,0.9195644863954879
70,19aqma20f1175,8/30/20,08/11/20,us,0,08/11/20,19xwha,united states,"government acquisitions, inc.",nng15sc78b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"5,934.48","5,934.48","5,934.48",14,0.9195644863954879
71,19aqma20f1176,8/30/20,08/11/20,us,0,08/11/20,19xeap,united states,"iron bow technologies, llc",19aqmm18d0035,0,,n,no,it electronic computer components,423690.0,other electronic parts and equipment merchant wholesalers,423690,other electronic parts and equipment merchant wholesalers,7050,information technology components,usa,"6,250.00","6,250.00","6,250.00",14,0.9195644863954879
72,19aqma20f1178,8/17/20,08/11/20,us,0,08/11/20,19xeur,united states,aatd llc,nng15sd18b,0,,n,no,it,541519.0,other computer related services,541519,other computer related services,7025,information technology input/output and storage devices,usa,769.56,769.56,769.56,17,0.9195644855499268
73,19aqma20f1179,8/18/20,08/06/20,us,0,08/06/20,19xaf0,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"3,245.48","3,245.48","3,245.48",14,0.9195644863954879
74,19aqma20f1183,8/18/20,08/06/20,us,0,08/06/20,19xeur,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"3,369.38","3,369.38","3,369.38",14,0.9195644863954879
75,19aqma20f1186,8/18/20,08/06/20,us,0,08/06/20,19xds0,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"2,760.34","2,760.34","2,760.34",14,0.9195644863954879
76,19aqma20f1189,8/19/20,08/06/20,us,0,08/06/20,19xeur,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"4,880.75","4,880.75","4,880.75",14,0.9195644863954879
77,19aqma20f1190,08/07/20,08/03/20,us,0,08/03/20,19xaf0,united states,ostyn newman inc,saqmma16a0227,0,,n,no,furniture for overseas personnel.,337122.0,nonupholstered wood household furniture manufacturing,337122,nonupholstered wood household furniture manufacturing,7105,household furniture,usa,"5,750.00","5,750.00","5,750.00",16,0.9195644863954879
78,19aqma20f1191,8/18/20,08/06/20,us,0,08/06/20,19xwha,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"2,470.32","2,470.32","2,470.32",14,0.9195644863954879
79,19aqma20f1194,8/31/20,08/12/20,us,0,08/12/20,19xeap,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,640.00,640.00,640.00,14,0.9195644863954879
80,19aqma20f1196,8/18/20,08/06/20,us,0,08/06/20,19xds0,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"1,539.15","1,539.15","1,539.15",14,0.9195644863954879
81,19aqma20f1197,8/30/20,08/11/20,us,0,08/11/20,19xwha,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"3,960.00","3,960.00","3,960.00",14,0.9195644863954879
82,19aqma20f1198,8/30/20,08/11/20,us,0,08/11/20,19xwha,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"1,493.94","1,493.94","1,493.94",14,0.9195644863954879
83,19aqma20f1206,08/12/20,08/12/20,us,0,08/12/20,19xwha,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,isc emd laptops and ssd drives for din computers,541519.0,other computer related services,541519,other computer related services,7010,information technology equipment system configuration,usa,"11,423.00","11,423.00","11,423.00",133,1.0
84,19aqma20f1207,8/28/20,08/12/20,us,0,08/12/20,19xaf0,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"4,952.95","4,952.95","4,952.95",14,0.9195644863954879
85,19aqma20f1208,8/28/20,08/12/20,us,0,08/12/20,19xnea,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"2,240.00","2,240.00","2,240.00",14,0.9195644863954879
86,19aqma20f1209,8/28/20,08/12/20,us,0,08/12/20,19xeap,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"7,920.00","7,920.00","7,920.00",14,0.9195644863954879
87,19aqma20f1210,8/28/20,08/12/20,us,0,08/12/20,19x1sn,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"1,994.00","1,994.00","1,994.00",14,0.9195644863954879
88,19aqma20f1211,8/28/20,08/12/20,us,0,08/12/20,19xaf0,united states,"new tech solutions, inc.",nng15sc82b,0,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,225.00,225.00,225.00,14,0.9195644863954879
89,19aqma20f1212,8/18/20,08/11/20,us,0,08/11/20,19xwha,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,"5,358.45","5,358.45","5,358.45",14,0.9195644863954879
90,19aqma20f1213,8/30/20,08/11/20,us,0,08/11/20,19xsca,united states,"mercom, incorporated",nng15sd84b,18,,n,no,it electronic computer components,541519.0,other computer related services,541519,other computer related services,7050,information technology components,usa,377.10,377.10,377.10,14,0.9195644863954879
91,19aqma20f1214,8/24/20,8/13/20,us,0,8/13/20,19xeur,united states,"mercom, incorporated",nng15sd84b,18,,n,no,gitm it,541519.0,other computer related services,541519,other computer related services,7010,information technology equipment system configuration,usa,"1,812.38","1,812.38","1,812.38",15,0.9195644863954879
92,19aqma20f1215,8/24/20,8/13/20,us,0,8/13/20,19xwha,united states,"mercom, incorporated",nng15sd84b,18,,n,no,gitm it,541519.0,other computer related services,541519,other computer related services,7010,information technology equipment system configuration,usa,"1,907.55","1,907.55","1,907.55",15,0.9195644863954879
